,ATSPM_ID,name,latitude,longitude,roadway_name,county,direction,roadwayName,SIIA_ID,approachID,laneType,width,numberFromLeft,detectorID,channel,phase,distanceToStopbar,length,laneID,det_type
0,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,0,S ROSALIND AVE,1144,4035,Through,12.0,1,13587,6,6,0.0,50.0,12038,Video
1,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,0,S ROSALIND AVE,1144,4035,Through,12.0,2,13589,6,6,0.0,50.0,12039,Video
2,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,0,S ROSALIND AVE,1144,4035,Through Right,12.0,3,13591,6,6,0.0,50.0,12040,Video
3,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,90,E CHURCH ST,1144,4036,Left,12.0,1,13593,8,8,0.0,50.0,12041,Video
4,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,90,E CHURCH ST,1144,4036,Through,12.0,2,13594,8,8,0.0,50.0,12042,Video
5,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST",ORANGE,270,E CHURCH ST,1144,4037,Right,12.0,1,23141,8,8,0.0,50.0,12043,Video
0,OSC-1037,17/92 & Osceola Polk Ln Rd (CR 532),28.259847,-81.543077,"S ORANGE BLOSSOM TRL, OSCEOLA POLK LINE RD",OSCEOLA,0,S ORANGE BLOSSOM TRL,578,1992,Left,12.0,1,6381,2,2,0.0,40.0,6015,Inductive Loop
1,OSC-1037,17/92 & Osceola Polk Ln Rd (CR 532),28.259847,-81.543077,"S ORANGE BLOSSOM TRL, OSCEOLA POLK LINE RD",OSCEOLA,0,S ORANGE BLOSSOM TRL,578,1992,Through,12.0,2,6382,6,2,183.0,6.0,6016,Inductive Loop
2,OSC-1037,17/92 & Osceola Polk Ln Rd (CR 532),28.259847,-81.543077,"S ORANGE BLOSSOM TRL, OSCEOLA POLK LINE RD",OSCEOLA,0,S ORANGE BLOSSOM TRL,578,1992,Through,12.0,2,6383,5,2,395.0,6.0,6016,Inductive Loop
3,OSC-1037,17/92 & Osceola Polk Ln Rd (CR 532),28.259847,-81.543077,"S ORANGE BLOSSOM TRL, OSCEOLA POLK LINE RD",OSCEOLA,45,OSCEOLA POLK LINE RD,578,1993,Left,12.0,1,6384,3,4,4.0,40.0,6017,Inductive Loop
