,ATSPM_ID,name,latitude,longitude,roadway_name
0,ORL-0012,Rosalind Ave & Church St,28.540386,-81.375867,"S ROSALIND AVE, E CHURCH ST"
0,OSC-1037,17/92 & Osceola Polk Ln Rd (CR 532),28.259847,-81.543077,"S ORANGE BLOSSOM TRL, OSCEOLA POLK LINE RD"
0,2700,CR15(17\92) @ Orange Blvd,28.82857,-81.32294,"MONROE RD, SUNRAIL DR"
0,D5I-9999,Cypress Parkway & Cypress Branch Rd,28.145646,-81.466015,"CYPRESS PKWY, CYPRESS BRANCH RD"
0,ORC-0021,SR 438 & CR 434(Lake Stanley Rd),28.577597,-81.496799,"SILVER STAR RD, LAKE STANLEY RD"
0,ORL-0428,Edgewater Dr at Smith St,28.57204,-81.389466,"W SMITH ST, EDGEWATER DR"
0,ORC-0036,Colonial Dr E at Bonneville Dr,28.565264,-81.187084,"BONNEVILLE DR, E COLONIAL DR"
0,1250,SR-434 @ Sanlando Springs,28.686996,-81.395262,"SANLANDO OFFICE PARK, SR-434"
0,VOL-0336,Saxon Blvd & Threadgill Place,28.91124,-81.28812,"THREADGILL PL, SAXON BLVD"
0,MEL-4061,Harbor City Blvd (US 1) & US 192 (Strawbridge Ave),28.079928,-80.603508,"S HARBOR CITY BLVD, E STRAWBRIDGE AVE"
0,OSC-2026,John Young Pkwy (US 17/92) at Mabbette St,28.293511,-81.416105,S JOHN YOUNG PKWY
0,ORL-0528,SR 436 (Semoran Blvd) at Yew Dr,28.540775,-81.31058,"S SEMORAN BLVD, YEW DR"
0,D5I-3025,17/92 / 15/600 (Orlando Ave.) at Minnesota Ave.,28.589451,-81.364987,"ORLANDO AVE S, MINNESOTA AVE"
0,ORC-0579,NOBT at SR 414 EB Ramp,28.633509,-81.452141,"ORANGE BLOSSOM TRL N, MAITLAND BLVD"
0,VOL-0128,Ridgewood Ave (US 1) & Big Tree Rd,29.1742,-81.0033,"S RIDGEWOOD AVE, BIG TREE RD"
0,BRE-0347,Viera Blvd at Stadium Pkwy,28.26685,-80.736475,"STADIUM PKWY, VIERA BLVD"
0,D5I-8005,SR 527 (Orange Ave) at Holden Ave,28.494694,-81.374935,"ORANGE AVE S, W HOLDEN AVE"
0,OSC-1103,Michigan ave @ Mill Slough rd,28.315312,-81.391305,MILL SLOUGH RD
0,OSC-1093,US 441 & Osceola Pkwy,28.337258,-81.403742,"N ORANGE BLOSSOM TRL, W OSCEOLA PKWY"
0,ORC-0203,NOBT at Roger Williams Ave,28.665171,-81.484718,"S ORANGE BLOSSOM TRL, ROGER WILLIAMS RD S, VICTOR DR"
0,1340,SR 434 at SR 419,28.703537,-81.291561,"SHORE RD, SR-419, SR-434"
